sample,patient_id,tissue_site,n_cells
BRONCHO_11,11,advanced_airway_tumor,3178
BRONCHO_58,58,advanced_airway_tumor,2813
EBUS_06,06,advanced_airway_tumor,2303
EBUS_10,10,advanced_airway_tumor,5144
EBUS_12,12,advanced_airway_tumor,3115
EBUS_13,13,advanced_airway_tumor,3550
EBUS_15,15,advanced_airway_tumor,1105
EBUS_19,19,advanced_airway_tumor,2112
EBUS_28,28,advanced_airway_tumor,5182
EBUS_49,49,advanced_airway_tumor,1775
EBUS_51,51,advanced_airway_tumor,3275
NS_02,02,non_smoker_lung,2313
NS_03,03,non_smoker_lung,2990
NS_04,04,non_smoker_lung,1904
NS_06,06,non_smoker_lung,1070
NS_07,07,non_smoker_lung,5730
NS_12,12,non_smoker_lung,3182
NS_13,13,non_smoker_lung,4845
NS_16,16,non_smoker_lung,1317
NS_17,17,non_smoker_lung,2409
NS_19,19,non_smoker_lung,3300
LUNG_N01,01,normal_lung,3194
LUNG_N06,06,normal_lung,2839
LUNG_N08,08,normal_lung,3380
LUNG_N09,09,normal_lung,2528
LUNG_N18,18,normal_lung,4628
LUNG_N19,19,normal_lung,3870
LUNG_N20,20,normal_lung,5798
LUNG_N28,28,normal_lung,3411
LUNG_N30,30,normal_lung,3884
LUNG_N31,31,normal_lung,4241
LUNG_N34,34,normal_lung,5222
LN_01,01,normal_lymph_node,3626
LN_02,02,normal_lymph_node,3178
LN_03,03,normal_lymph_node,3013
LN_04,04,normal_lymph_node,3092
LN_05,05,normal_lymph_node,3087
LN_06,06,normal_lymph_node,2936
LN_07,07,normal_lymph_node,5713
LN_08,08,normal_lymph_node,4395
LN_11,11,normal_lymph_node,3788
LN_12,12,normal_lymph_node,4618
EFFUSION_06,06,pleural_effusion,4884
EFFUSION_11,11,pleural_effusion,2943
EFFUSION_12,12,pleural_effusion,4224
EFFUSION_13,13,pleural_effusion,4441
EFFUSION_64,64,pleural_effusion,3812
LUNG_T06,06,primary_tumor,3426
LUNG_T08,08,primary_tumor,3765
LUNG_T09,09,primary_tumor,3840
LUNG_T18,18,primary_tumor,3705
LUNG_T19,19,primary_tumor,4361
LUNG_T20,20,primary_tumor,4021
LUNG_T25,25,primary_tumor,4374
LUNG_T28,28,primary_tumor,4705
LUNG_T30,30,primary_tumor,4094
LUNG_T31,31,primary_tumor,5578
LUNG_T34,34,primary_tumor,3280
